speaker,trial,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
MZ,59,ANF,typical,Bohnen,gruen,Kartoffeln,orange,Waescheklammer,braun,Sonnenbrille,rot,beans,green,96.81188118811882,7.065002294815097,100
MZ,60,NF,typical,Mandarine,orange,Socken,orange,Bueroklammer,gelb,Zucchini,gelb,mandarine,orange,98.70297029702971,4.731901424280615,100
MZ,61,ANF,typical,Zitrone,gelb,Bohnen,gruen,Bueroklammer,orange,Avokado,rot,lemon,yellow,99.60396039603961,2.3794083631053837,100
MZ,62,NF,atypical,Moehre,gruen,Sonnenbrille,gruen,Bueroklammer,braun,Avokado,rot,carrots,green,3.99009900990099,13.916533368267366,0
MZ,63,AF,atypical,Trauben,orange,Trauben,gelb,Waescheklammer,braun,Bueroklammer,gruen,grapes,orange,5.871287128712871,14.374048397258605,0
MZ,64,NF,medium,Banane,braun,Bueroklammer,braun,Waescheklammer,orange,Aubergine,gruen,banana,brown,27.643564356435643,28.333225781197537,22
MZ,65,AF,atypical,Moehre,gruen,Moehre,orange,Bueroklammer,braun,Avokado,rot,carrots,green,3.99009900990099,13.916533368267366,0
MZ,66,NF,typical,Zitrone,gelb,Sonnenbrille,gelb,Socken,gruen,Zucchini,braun,lemon,yellow,99.60396039603961,2.3794083631053837,100
MZ,67,AF,atypical,Paprika,braun,Paprika,rot,Bueroklammer,orange,Waescheklammer,orange,pepper,brown,7.772277227722772,16.440730633471745,0
MZ,68,ANF,medium,Tomate,gruen,Mandarine,orange,Bueroklammer,braun,Zucchini,braun,tomato,green,25.99009900990099,28.510522636214493,18
MZ,69,NF,atypical,Paprika,braun,Waescheklammer,braun,Bueroklammer,gruen,Socken,gruen,pepper,brown,7.772277227722772,16.440730633471745,0
MZ,70,AF,NA,Waescheklammer,orange,Waescheklammer,gelb,Socken,gruen,Zucchini,braun,clothes.peg,orange,65.55445544554455,25.69999036868487,67
