team,model_n,dv,mean,sd
hoplostethus_macrosteus,2,intensity,68.35705957355815,3.4420506715212777
neosilurus_omanensis,1,f0,1.023729932159758,0.14834812917400672
neosilurus_omanensis,2,f0,0.46222317547023345,0.23454929000342417
neosilurus_omanensis,4,f0,0.19458129663264545,2.3615098606124674
nestor_idahoensis,1,duration,-2.703635696037138,0.4769517611326891
nestor_idahoensis,2,f0,5.103447128338548,0.29083813394136343
paralichthys_undulatus,1,f0,8.206273987430688,6.856427094849252
petauroides_fistulator,1,f0,20.894946834623646,5.6018819301510785
saron_pictus,1,duration,400.2521052852199,109.50646138423441
trachurus_riukiuensis,1,duration,112.92771084337349,32.64536319015877
trachurus_riukiuensis,2,f0,202.04918032786884,41.041940271720016
trachurus_riukiuensis,3,duration,410.4096385542169,119.76184007784703
trachurus_riukiuensis,4,f0,206.90808823529412,43.55798767537822
trachurus_riukiuensis,5,f0,206.55985037406484,47.15519609045904
varanus_eulophotes,1,f0,181.94605440039106,38.60554031870023
alosa_atun,1,f0,183.65248546596726,44.58072279131244
alosa_atun,2,intensity,67.36010682191757,3.3221181855137765
alosa_atun,3,duration,0.0485015408320491,0.01288560897384475
alosa_atun,6,f0,171.86595896471064,41.89500172690176
alosa_atun,7,intensity,66.23901882864475,4.419370941900907
alosa_atun,8,duration,0.055049030823253665,0.02704424557670187
alosa_atun,11,duration,0.10122462264975912,0.028410043198638258
alosa_atun,12,duration,1.0382130013221582,0.4890720009469799
alosa_atun,14,duration,0.15456383242674615,0.034624404737810824
alosa_atun,15,duration,0.002563706563706822,0.021350475216550712
alosa_atun,16,duration,341.4548376912986,42.39870676008789
chelonia_brummeri,1,duration,-45.48469049599554,61.22543423962237
chelonia_brummeri,2,intensity,1.7890468717687795,1.9610771376528444
chelonia_brummeri,3,f0,5.549479462131694,4.91470062211427
chelonia_brummeri,4,f0,205.99562929406127,43.82637971308171
dunkleosteus_inscriptus,1,duration,0.45993678384907277,0.09227628746712219
dunkleosteus_inscriptus,2,duration,0.4935986576787808,0.14111597431320816
dunkleosteus_inscriptus,3,duration,0.3767236126972469,0.09825030337057157
dunkleosteus_inscriptus,4,duration,0.40343493552168813,0.13794217981807597
dunkleosteus_inscriptus,5,duration,0.8970335932004689,0.19996002564105278
pervagor_meeki,1,intensity,64.06633284397147,3.8933591117325346
pervagor_meeki,2,duration,496.6350336109134,112.15715914083916
pervagor_meeki,3,f0,14.10954149041976,4.0073630975351335
pervagor_meeki,4,f0,17.504635592409123,4.272743839874812
pervagor_meeki,5,intensity,65.73518031417557,3.458497060208567
pervagor_meeki,6,duration,402.94978252313166,102.72301043886957
pervagor_meeki,7,f0,14.948014245864183,4.073997574594225
pervagor_meeki,8,f0,17.277404703618988,4.151447675043427
procambarus_mahogoni,1,duration,0.3039037052222222,5.951544054149576
procambarus_mahogoni,2,f0,177.0702841393889,40.233990689146495
procambarus_mahogoni,3,intensity,67.7754554756,7.107546792309378
trachyphyllia_lappa,1,duration,0.40679277108433737,0.11883628752464757
trachyphyllia_lappa,2,f0,205.63009156626507,41.59674911624591
trachyphyllia_lappa,3,f0,153.33306987951806,44.91636308065977
trachyphyllia_lappa,4,f0,52.29702168674699,40.589598619400874
trachyphyllia_lappa,5,duration,0.4958843373493976,0.11884563983060474
trachyphyllia_lappa,6,f0,206.61011807228917,42.952915846122636
trachyphyllia_lappa,7,f0,122.1617469879518,39.625711333636644
trachyphyllia_lappa,8,f0,84.44837108433735,45.67530137389641
